Ano,Município,CaixasMultibanco,DepositosBancarios
2020,Abrantes,49,1040976
2020,Águeda,50,1620992
2020,Aguiar da Beira,7,329240
2020,Albergaria-a-Velha,30,612904
2020,Albufeira,137,2123340
2020,Alcácer do Sal,18,332546
2020,Alcanena,26,444546
2020,Alcobaça,68,1855940
2020,Alcochete,22,383363
2020,Alcoutim,4,140525
2020,Alenquer,41,840364
2020,Alfândega da Fé,4,217448
2020,Alijó,9,246285
2020,Aljezur,19,244794
2020,Aljustrel,10,237423
2020,Almada,205,5424796
2020,Almeida,11,355260
2020,Almeirim,22,609228
2020,Alvaiázere,7,224200
2020,Alvito,3,88553
2020,Amadora,165,3858510
2020,Amarante,49,1454672
2020,Amares,17,532840
2020,Anadia,29,1021738
2020,Angra do Heroísmo,52,1112796
2020,Ansião,13,500846
2020,Arcos de Valdevez,20,1175558
2020,Arganil,13,306394
2020,Arouca,24,662514
2020,Arraiolos,7,138716
2020,Arruda dos Vinhos,17,411952
2020,Aveiro,118,4320214
2020,Avis,10,127358
2020,Azambuja,32,433698
2020,Baião,11,385928
2020,Barcelos,96,3797372
2020,Barreiro,75,1724812
2020,Batalha,15,835196
2020,Beja,53,1180923
2020,Belmonte,9,255243
2020,Benavente,35,631870
2020,Bombarral,17,451914
2020,Borba,7,121060
2020,Boticas,4,288266
2020,Braga,215,7435558
2020,Bragança,46,1912830
2020,Cabeceiras de Basto,12,517530
2020,Cadaval,12,278765
2020,Caldas da Rainha,62,2185234
2020,Calheta [R.A.A.],9,107688
2020,Calheta [R.A.M.],10,609995
2020,Câmara de Lobos,20,518746
2020,Caminha,23,688574
2020,Campo Maior,11,198424
2020,Cantanhede,46,1523506
2020,Carrazeda de Ansiães,3,201086
2020,Carregal do Sal,13,299821
2020,Cartaxo,28,575539
2020,Cascais,248,9597191
2020,Castelo Branco,70,2469190
2020,Castelo de Paiva,12,376316
2020,Castro Daire,12,494420
2020,Castro Verde,11,290912
2020,Celorico da Beira,12,309484
2020,Celorico de Basto,10,387076
2020,Chaves,47,1916495
2020,Cinfães,13,337595
2020,Coimbra,222,6809837
2020,Condeixa-a-Nova,18,672012
2020,Coruche,17,592630
2020,Covilhã,70,1647341
2020,Crato,6,79234
2020,Elvas,26,594480
2020,Entroncamento,26,561738
2020,Espinho,38,1675248
2020,Esposende,37,1071189
2020,Estarreja,28,958256
2020,Estremoz,22,504396
2020,Évora,88,2657669
2020,Fafe,39,1650486
2020,Faro,105,4073848
2020,Felgueiras,51,2037707
2020,Ferreira do Alentejo,12,188493
2020,Ferreira do Zêzere,8,151222
2020,Figueira da Foz,73,2042444
2020,Figueira de Castelo Rodrigo,9,242980
2020,Fronteira,4,70078
2020,Funchal,187,6820940
2020,Fundão,40,1126391
2020,Gavião,7,83402
2020,Golegã,8,126933
2020,Gondomar,110,2953808
2020,Gouveia,16,643764
2020,Grândola,21,593893
2020,Guarda,58,2066646
2020,Guimarães,165,6007858
2020,Horta,25,386796
2020,Idanha-a-Nova,13,295478
2020,Ílhavo,42,910916
2020,Lagoa,44,695810
2020,Lagoa [R.A.A.],11,169072
2020,Lagos,71,1154948
2020,Lajes do Pico,11,123718
2020,Lamego,27,434036
2020,Leiria,144,6576166
2020,Lisboa,1290,130382226
2020,Loulé,138,4106406
2020,Loures,185,4105304
2020,Lourinhã,35,929574
2020,Lousã,18,436826
2020,Lousada,34,599658
2020,Mação,8,188423
2020,Macedo de Cavaleiros,17,654772
2020,Machico,22,535052
2020,Madalena,16,218084
2020,Mafra,86,2128930
2020,Maia,133,3887344
2020,Mangualde,20,965657
2020,Marco de Canaveses,40,1334007
2020,Marinha Grande,38,1275804
2020,Matosinhos,194,4669558
2020,Mealhada,34,510184
2020,Mêda,6,257886
2020,Melgaço,9,521530
2020,Mértola,5,221155
2020,Mesão Frio,4,91470
2020,Mira,10,433182
2020,Miranda do Corvo,13,282404
2020,Miranda do Douro,9,370730
2020,Mirandela,23,635906
2020,Mogadouro,6,310702
2020,Moimenta da Beira,10,242753
2020,Moita,52,1031500
2020,Monção,19,830779
2020,Mondim de Basto,6,219821
2020,Montalegre,10,725362
2020,Montemor-o-Novo,24,541382
2020,Montemor-o-Velho,19,460420
2020,Montijo,55,1050488
2020,Mora,7,168479
2020,Mortágua,10,422565
2020,Moura,20,382360
2020,Murça,4,208243
2020,Murtosa,12,501374
2020,Nazaré,27,365222
2020,Nelas,20,405034
2020,Nordeste,7,92598
2020,Óbidos,20,199960
2020,Odemira,42,914646
2020,Odivelas,121,3592844
2020,Oeiras,232,25816464
2020,Oleiros,5,202364
2020,Olhão,51,888468
2020,Oliveira de Azeméis,45,1882590
2020,Oliveira de Frades,14,448810
2020,Oliveira do Bairro,21,772593
2020,Oliveira do Hospital,27,660104
2020,Ourém,57,2357809
2020,Ourique,6,208698
2020,Ovar,58,1396938
2020,Paços de Ferreira,52,1285898
2020,Palmela,57,1058094
2020,Pampilhosa da Serra,9,147422
2020,Paredes,63,2128114
2020,Pedrógão Grande,6,169778
2020,Penacova,10,292849
2020,Penafiel,63,1884696
2020,Penalva do Castelo,4,364306
2020,Penedono,4,210313
2020,Peniche,37,825636
2020,Peso da Régua,19,589941
2020,Pinhel,6,399564
2020,Pombal,63,2859430
2020,Ponta Delgada,114,2965954
2020,Ponte da Barca,8,515862
2020,Ponte de Lima,34,1404034
2020,Ponte de Sor,26,463555
2020,Portalegre,43,1003722
2020,Portel,10,86794
2020,Portimão,107,1949126
2020,Porto,485,28199430
2020,Porto de Mós,27,730580
2020,Porto Santo,9,101768
2020,Póvoa de Lanhoso,22,729832
2020,Póvoa de Varzim,71,2595824
2020,Povoação,9,358756
2020,Proença-a-Nova,7,310698
2020,Redondo,6,139997
2020,Reguengos de Monsaraz,13,330308
2020,Resende,9,310978
2020,Ribeira Brava,14,816718
2020,Ribeira de Pena,6,181016
2020,Ribeira Grande,32,446426
2020,Rio Maior,31,687086
2020,Sabrosa,5,146882
2020,Sabugal,16,768998
2020,Salvaterra de Magos,23,465958
2020,Santa Comba Dão,17,240978
2020,Santa Cruz,33,531548
2020,Santa Cruz da Graciosa,9,115700
2020,Santa Cruz das Flores,4,95458
2020,Santa Maria da Feira,102,3342044
2020,Santa Marta de Penaguião,4,131643
2020,Santana,10,247069
2020,Santarém,87,2227514
2020,Santiago do Cacém,34,920324
2020,Santo Tirso,64,1780214
2020,São Brás de Alportel,10,425062
2020,São João da Madeira,44,2290388
2020,São João da Pesqueira,8,222414
2020,São Pedro do Sul,16,712236
2020,São Roque do Pico,7,52170
2020,Sátão,9,453144
2020,Seia,25,929232
2020,Seixal,118,2720268
2020,Sernancelhe,5,293868
2020,Serpa,14,393396
2020,Sertã,13,506572
2020,Sesimbra,55,1166651
2020,Setúbal,128,4165536
2020,Sever do Vouga,12,363946
2020,Silves,47,1156765
2020,Sines,26,601220
2020,Sintra,327,7973778
2020,Sobral de Monte Agraço,11,274390
2020,Soure,16,399551
2020,Sousel,6,193421
2020,Tábua,11,266178
2020,Tabuaço,4,189916
2020,Tarouca,6,264018
2020,Tavira,57,1158106
2020,Terras de Bouro,9,159884
2020,Tomar,42,1265144
2020,Tondela,31,938417
2020,Torre de Moncorvo,8,413888
2020,Torres Novas,46,1151474
2020,Torres Vedras,90,3814386
2020,Trancoso,12,639400
2020,Trofa,39,949086
2020,Vagos,28,949152
2020,Vale de Cambra,26,894328
2020,Valença,15,819234
2020,Valongo,82,1990548
2020,Valpaços,13,764288
2020,Velas,11,131744
2020,Vendas Novas,16,473485
2020,Viana do Alentejo,8,120508
2020,Viana do Castelo,97,3618838
2020,Vidigueira,8,134463
2020,Vieira do Minho,15,463122
2020,Vila da Praia da Vitória,29,363976
2020,Vila do Bispo,15,133867
2020,Vila do Conde,83,1709120
2020,Vila do Porto,7,151023
2020,Vila Flor,8,168509
2020,Vila Franca de Xira,119,3817600
2020,Vila Franca do Campo,11,250984
2020,Vila Nova de Famalicão,109,4324894
2020,Vila Nova de Foz Côa,8,311249
2020,Vila Nova de Gaia,280,5587394
2020,Vila Nova de Paiva,4,305730
2020,Vila Nova de Poiares,8,167600
2020,Vila Pouca de Aguiar,10,598814
2020,Vila Real,66,2122976
2020,Vila Real de Santo António,36,893206
2020,Vila Verde,44,1415516
2020,Vila Viçosa,11,250797
2020,Vimioso,5,217586
2020,Vinhais,5,332892
2020,Viseu,125,4987210
2020,Vizela,21,785490
2020,Vouzela,10,293420
2021,Abrantes,47,1081901
2021,Águeda,50,1767513
2021,Aguiar da Beira,8,344908
2021,Albergaria-a-Velha,31,735748
2021,Albufeira,137,2462334
2021,Alcácer do Sal,21,371110
2021,Alcanena,22,457032
2021,Alcobaça,70,1874195
